GOOD_NAME,UNIT_PRICE_AVR,ADG_CODE_MODE,Labels,GOOD_NAME_TRANSLATED,Predicted_Labels
ԼՈԼԻԿ ՉԵՐԻ,1608.49367088608,2009,tomatoes,Tomato Cherry,tomatoes
ԿԱՌՈՆԱ ԳԱՐԵՋՈՒ,660.0,2203,beer,Carnon beer,beer
Ձ/Պ Տունեց բնական 250գ թ/տ Bars,1684.09090909091,1604,meat,HOME / PACOMA Natural 250g / t Bars,else
Պանիր հալած <<President>> մաազդամ 1,795.0,406,cheese,"Cheese Melted ""President >> Maazdam 1:",cheese
ԼՈԼԻԿԸ ՍԵՓ.ՀՅՈՒԹԻ ՄԵՋ Ա/Ֆ 1ԿԳ,820.0,2202,tomatoes,Tomato in Sepherd in a / F 1 kg,tomatoes
Marianna կաթնաշոռ չամիչ,220.0,406,dairy,Marianna Cottage cheese raisins,cheese
Թան «Մարիաննա» 0.33մլ,160.0,403,dairy,"Tan ""Marianna"" 0.33 ml",else
բարեկենդան բրինձ 500գ,350.0,1006,rice,Carnival Rice 500 g,rice
Պանիր  ԿԱԹՆԱ Չեչիլ ապխտած 135գր,1000.0,406,cheese,Cheese Katna Chechil Smoked 135 g,cheese
ԳԱՐԵՋՈՒՐ ՖՌԱՆԶԻՍԿԱՆԵՐ 0.5Լ,700.0,101,beer,Beer FrancismsKka 0.5 l,beer
"""Լյուտիկ"" չերրի լոլիկներ 680գ",690.0,2006,tomatoes,"""LUNTIK"" CHERRY TULKS 680 g",dessert
Պանիր խինկալի Բիո կաթ/Քիս-Միլ/Կոնֆետ 50%,1650.0,406,cheese,Cheese Khinkali Bio Milk / Kis-Mill / Candy 50%,cheese
0406 - Կաթնաշոռային մթերք «Արարատյան» 200գ,450.0,406,dairy,"0406 - Cottage cheese products ""Araratyan"" 200 g",cheese
Գարեջուր Կլինսկոե  0.5լ Ա/Տ,450.0,2203,beer,Beer Klostko 0.5 l / t,beer
Լոլիկ վարդագույն կգ,1968.52649006623,702,tomatoes,Tomato pink kg,tomatoes
Հավի թևի բդիկ  տապակած,380.0,56,meat,Chicken arm bitter fried,meat
"Դոնդող Ռուսկի պրոդուկտ, նարինջ, 50",280.0,2007,dessert,"Jelly Russian product, orange, 50",else
